"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","test_order_creation_clears_the_cart","test","Fri Sep 25 00:09:37 UTC 2026","passed","Fri Sep 25 00:09:37 UTC 2026","","test_orders","",""
"","17","test_add_same_item_twice_increases_quantity","test","Fri Sep 25 00:09:30 UTC 2026","passed","Fri Sep 25 00:09:30 UTC 2026","","test_cart","",""
"","6","test_products_not_empty","test","Fri Sep 25 00:09:39 UTC 2026","passed","Fri Sep 25 00:09:39 UTC 2026","","test_products","",""
"","4","test_empty_cart_returns_zero_total","test","Fri Sep 25 00:09:29 UTC 2026","passed","Fri Sep 25 00:09:29 UTC 2026","","test_cart","",""
"","2","test_auth_with_empty_email","test","Fri Sep 25 00:09:28 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","70","test_admin_changed_status_order_true","test","Fri Sep 25 00:09:26 UTC 2026","passed","Fri Sep 25 00:09:26 UTC 2026","","test_admin_changed_status_order","",""
"","2459","test_full_checkout_flow_via_ui[chromium]","test","Fri Sep 25 00:09:31 UTC 2026","passed","Fri Sep 25 00:09:34 UTC 2026","","test_checkout_pom","",""
"","29","test_payment_outcomes[4242424242424242-200-paid]","test","Fri Sep 25 00:09:38 UTC 2026","passed","Fri Sep 25 00:09:38 UTC 2026","","test_payment","",""
"","661","test_login_via_page_object_with_class[chromium]","test","Fri Sep 25 00:09:31 UTC 2026","passed","Fri Sep 25 00:09:31 UTC 2026","","test_checkout_pom","",""
"","141","test_add_product_to_cart_updates_badge_2[chromium]","test","Fri Sep 25 00:09:36 UTC 2026","passed","Fri Sep 25 00:09:36 UTC 2026","","test_ui_catalog","",""
"Регрессионный тест на баг, который мы нашли вручную: заказ нельзя
    создать из пустой корзины — сервер должен вернуть 400 с понятной ошибкой.","5","test_create_order_with_empty_cart_fails","test","Fri Sep 25 00:09:38 UTC 2026","passed","Fri Sep 25 00:09:38 UTC 2026","","test_orders","",""
"","526","test_login_with_correct_credentials_returns_token","test","Fri Sep 25 00:09:27 UTC 2026","passed","Fri Sep 25 00:09:27 UTC 2026","","test_auth","",""
"","267","test_auth_with_busy_email","test","Fri Sep 25 00:09:28 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","2","test_cart_requires_authentication","test","Fri Sep 25 00:09:30 UTC 2026","passed","Fri Sep 25 00:09:30 UTC 2026","","test_cart","",""
"","11","test_add_item_to_cart","test","Fri Sep 25 00:09:29 UTC 2026","passed","Fri Sep 25 00:09:29 UTC 2026","","test_cart","",""
"","4","test_products_fillter_unknow_category","test","Fri Sep 25 00:09:39 UTC 2026","passed","Fri Sep 25 00:09:39 UTC 2026","","test_products","",""
"","2","test_health_check_returns_ok","test","Fri Sep 25 00:09:36 UTC 2026","passed","Fri Sep 25 00:09:36 UTC 2026","","test_health","",""
"","9","test_single_product_has_expected_fields","test","Fri Sep 25 00:09:36 UTC 2026","passed","Fri Sep 25 00:09:36 UTC 2026","","test_health","",""
"","264","test_register_new_user_succeeds","test","Fri Sep 25 00:09:26 UTC 2026","passed","Fri Sep 25 00:09:27 UTC 2026","","test_auth","",""
"","4","test_products_list_returns_items","test","Fri Sep 25 00:09:36 UTC 2026","passed","Fri Sep 25 00:09:36 UTC 2026","","test_health","",""
"","6","test_login_with_bad_password","test","Fri Sep 25 00:09:28 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","3","test_products_non_exits_id","test","Fri Sep 25 00:09:39 UTC 2026","passed","Fri Sep 25 00:09:39 UTC 2026","","test_products","",""
"","4","test_create_products_default_user_expect_forbidden","test","Fri Sep 25 00:09:40 UTC 2026","passed","Fri Sep 25 00:09:40 UTC 2026","","test_products_admin","",""
"","109","test_add_product_to_cart_updates_badge[chromium]","test","Fri Sep 25 00:09:35 UTC 2026","passed","Fri Sep 25 00:09:35 UTC 2026","","test_ui_catalog","",""
"","3","test_add_products_without_authorization","test","Fri Sep 25 00:09:39 UTC 2026","passed","Fri Sep 25 00:09:40 UTC 2026","","test_products_admin","",""
"","524","test_login_with_wrong_password_fails","test","Fri Sep 25 00:09:27 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","909","test_full_checkout_flow_via_ui_bad_flow[chromium]","test","Fri Sep 25 00:09:34 UTC 2026","passed","Fri Sep 25 00:09:35 UTC 2026","","test_checkout_pom","",""
"","18","test_create_order_from_cart_succeeds","test","Fri Sep 25 00:09:37 UTC 2026","passed","Fri Sep 25 00:09:37 UTC 2026","","test_orders","",""
"","62","test_catalog_shows_products[chromium]","test","Fri Sep 25 00:09:35 UTC 2026","passed","Fri Sep 25 00:09:35 UTC 2026","","test_ui_catalog","",""
"","2","test_auth_with_empty_password","test","Fri Sep 25 00:09:28 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","2","test_request_to_guard_endpoint","test","Fri Sep 25 00:09:28 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","4","test_login_with_unname_profile","test","Fri Sep 25 00:09:28 UTC 2026","passed","Fri Sep 25 00:09:28 UTC 2026","","test_auth","",""
"","42","test_ui_catalog[chromium]","test","Fri Sep 25 00:09:35 UTC 2026","passed","Fri Sep 25 00:09:35 UTC 2026","","test_ui_catalog","",""
"","23","test_user_cannot_view_other_users_order","test","Fri Sep 25 00:09:41 UTC 2026","passed","Fri Sep 25 00:09:41 UTC 2026","","test_user_cannot_view_other_users_order","",""
